ts,open,high,low,close,volume
1672531200000,20000.0,20043.75,19823.91,20019.54,14.149
1672534800000,20019.54,20166.14,20001.01,20149.98,14.193
1672538400000,20149.98,20172.65,20055.29,20123.54,12.335
1672542000000,20123.54,20134.02,20102.98,20107.64,10.464
1672545600000,20107.64,20170.33,20071.22,20168.79,14.044
1672549200000,20168.79,20233.81,20018.53,20170.71,11.904
1672552800000,20170.71,20258.02,20083.48,20162.79,12.64
1672556400000,20162.79,20343.92,19998.75,20151.75,10.403
1672560000000,20151.75,20283.76,19974.79,20192.27,12.623
1672563600000,20192.27,20293.14,20092.4,20270.78,10.452
1672567200000,20270.78,20382.7,20207.05,20357.16,12.011
1672570800000,20357.16,20517.99,20191.77,20232.43,14.623
1672574400000,20232.43,20281.19,20158.79,20191.09,14.232
1672578000000,20191.09,20204.1,20149.73,20167.28,12.476
1672581600000,20167.28,20241.84,20045.38,20208.39,12.756
1672585200000,20208.39,20410.33,20067.31,20070.37,11.857
1672588800000,20070.37,20264.27,19894.05,20248.78,13.241
1672592400000,20248.78,20361.01,20194.55,20208.8,13.2
1672596000000,20208.8,20362.57,20010.66,20287.64,10.178
1672599600000,20287.64,20448.61,20188.02,20223.4,13.345
1672603200000,20223.4,20255.89,20113.39,20230.77,11.632
1672606800000,20230.77,20391.86,20091.64,20260.81,11.518
1672610400000,20260.81,20267.44,20161.85,20174.04,11.215
1672614000000,20174.04,20274.7,20049.19,20077.36,11.55
1672617600000,20077.36,20128.85,19902.1,20059.02,11.294
1672621200000,20059.02,20101.26,19902.89,19915.44,12.929
1672624800000,19915.44,19992.21,19900.45,19958.66,14.577
1672628400000,19958.66,20128.75,19838.94,19839.62,13.123
1672632000000,19839.62,19920.39,19652.54,19748.54,11.322
1672635600000,19748.54,19800.68,19651.53,19772.26,10.157
1672639200000,19772.26,19797.31,19707.23,19748.61,14.924
1672642800000,19748.61,19883.75,19665.72,19740.29,13.995
1672646400000,19740.29,19871.22,19595.11,19725.34,11.648
1672650000000,19725.34,19803.3,19581.83,19797.82,14.779
1672653600000,19797.82,19850.03,19763.3,19844.79,10.618
1672657200000,19844.79,19979.25,19839.46,19919.57,14.212
1672660800000,19919.57,19962.5,19750.22,19752.5,12.008
1672664400000,19752.5,19876.47,19604.61,19610.26,14.061
1672668000000,19610.26,19754.04,19603.37,19719.55,13.549
1672671600000,19719.55,19882.03,19561.03,19795.84,14.652
1672675200000,19795.84,19802.33,19706.27,19752.89,11.315
1672678800000,19752.89,19838.63,19695.15,19773.93,10.529
1672682400000,19773.93,19785.29,19617.1,19635.41,12.716
1672686000000,19635.41,19691.65,19605.47,19635.38,12.543
1672689600000,19635.38,19713.32,19484.7,19694.34,11.808
1672693200000,19694.34,19834.96,19645.77,19777.97,10.036
1672696800000,19777.97,19956.22,19620.34,19823.86,11.355
1672700400000,19823.86,19983.36,19631.51,19909.55,10.084
1672704000000,19909.55,20021.89,19857.26,19933.23,10.896
1672707600000,19933.23,19933.98,19777.83,19871.16,14.961
1672711200000,19871.16,20031.29,19824.66,19894.25,13.228
1672714800000,19894.25,20012.21,19734.43,19776.05,10.529
1672718400000,19776.05,19805.08,19734.15,19770.58,10.718
1672722000000,19770.58,19814.82,19637.54,19746.86,13.115
1672725600000,19746.86,19904.88,19697.26,19698.34,10.064
1672729200000,19698.34,19778.28,19537.73,19549.72,12.192
1672732800000,19549.72,19716.2,19447.61,19562.4,12.014
1672736400000,19562.4,19723.51,19468.0,19659.78,10.129
1672740000000,19659.78,19846.18,19599.87,19700.6,10.242
1672743600000,19700.6,19858.64,19666.2,19744.8,11.758
1672747200000,19744.8,19928.6,19557.41,19558.36,13.821
1672750800000,19558.36,19614.56,19468.78,19478.01,11.376
1672754400000,19478.01,19569.69,19430.21,19554.19,14.067
1672758000000,19554.19,19603.97,19448.69,19501.88,12.861
1672761600000,19501.88,19680.31,19439.03,19608.53,12.321
1672765200000,19608.53,19630.61,19572.73,19629.97,13.124
1672768800000,19629.97,19703.0,19613.06,19700.43,13.75
1672772400000,19700.43,19897.07,19664.67,19778.65,13.745
1672776000000,19778.65,19954.6,19668.15,19882.49,11.835
1672779600000,19882.49,20012.42,19727.86,19991.29,11.122
1672783200000,19991.29,20046.4,19810.75,19989.85,11.429
1672786800000,19989.85,20186.56,19843.61,20148.53,12.648
1672790400000,20148.53,20271.95,20102.31,20224.01,11.59
1672794000000,20224.01,20249.28,20073.81,20131.06,12.875
1672797600000,20131.06,20198.76,20012.97,20127.21,12.101
1672801200000,20127.21,20212.21,20050.7,20079.55,12.631
1672804800000,20079.55,20092.74,19899.41,19916.21,14.291
1672808400000,19916.21,19989.95,19748.05,19977.38,10.063
1672812000000,19977.38,20108.48,19809.46,19820.85,10.66
1672815600000,19820.85,19938.79,19734.9,19928.45,11.064
1672819200000,19928.45,20013.88,19866.38,19931.36,13.554
1672822800000,19931.36,19955.84,19768.8,19832.93,11.626
1672826400000,19832.93,19975.08,19775.17,19869.28,12.612
1672830000000,19869.28,19919.18,19783.22,19894.27,11.877
1672833600000,19894.27,20066.84,19802.26,19833.84,13.8
1672837200000,19833.84,19910.01,19693.83,19798.33,12.221
1672840800000,19798.33,19810.86,19755.92,19761.4,10.428
1672844400000,19761.4,19828.4,19698.87,19728.65,12.007
1672848000000,19728.65,19732.6,19560.21,19603.54,10.527
1672851600000,19603.54,19704.72,19591.2,19698.53,13.539
1672855200000,19698.53,19837.93,19612.13,19663.74,13.934
1672858800000,19663.74,19750.28,19623.68,19628.41,14.43
1672862400000,19628.41,19710.4,19504.76,19676.18,11.328
1672866000000,19676.18,19686.66,19550.14,19646.64,12.492
1672869600000,19646.64,19840.19,19623.81,19727.04,11.546
1672873200000,19727.04,19801.96,19629.21,19649.87,14.756
1672876800000,19649.87,19703.73,19617.08,19628.34,10.812
1672880400000,19628.34,19769.42,19475.46,19651.47,10.507
1672884000000,19651.47,19743.1,19520.3,19545.81,13.743
1672887600000,19545.81,19692.86,19381.43,19518.25,11.039
1672891200000,19518.25,19598.83,19447.58,19534.41,14.377
1672894800000,19534.41,19626.47,19405.14,19576.83,11.375
1672898400000,19576.83,19704.63,19511.8,19639.62,14.518
1672902000000,19639.62,19683.24,19551.9,19558.33,10.848
1672905600000,19558.33,19631.59,19396.93,19538.22,14.581
1672909200000,19538.22,19576.1,19392.25,19497.93,11.419
1672912800000,19497.93,19500.2,19394.77,19415.33,13.705
1672916400000,19415.33,19587.43,19365.4,19522.16,12.297
1672920000000,19522.16,19554.97,19401.71,19462.14,11.417
1672923600000,19462.14,19638.14,19329.64,19458.23,12.52
1672927200000,19458.23,19627.82,19329.68,19573.48,13.454
1672930800000,19573.48,19670.74,19429.41,19617.82,14.278
1672934400000,19617.82,19695.68,19575.37,19619.75,12.078
1672938000000,19619.75,19664.91,19547.54,19618.67,14.17
1672941600000,19618.67,19632.17,19613.0,19614.48,11.717
1672945200000,19614.48,19761.77,19444.69,19607.7,14.672
1672948800000,19607.7,19636.65,19539.19,19635.08,12.051
1672952400000,19635.08,19704.59,19565.69,19657.89,13.955
1672956000000,19657.89,19793.95,19565.39,19662.55,14.512
1672959600000,19662.55,19733.24,19660.16,19680.61,12.533
1672963200000,19680.61,19694.96,19669.26,19693.34,10.683
1672966800000,19693.34,19831.27,19514.81,19700.45,11.163
1672970400000,19700.45,19890.98,19561.93,19597.27,13.915
1672974000000,19597.27,19769.01,19527.77,19564.91,13.675
1672977600000,19564.91,19699.18,19397.17,19489.4,12.026
1672981200000,19489.4,19500.27,19397.08,19420.42,11.488
1672984800000,19420.42,19441.71,19364.26,19396.16,12.15
1672988400000,19396.16,19440.54,19203.95,19389.35,14.497
1672992000000,19389.35,19437.74,19322.23,19343.55,10.764
1672995600000,19343.55,19404.49,19318.9,19369.29,14.615
1672999200000,19369.29,19416.01,19347.2,19389.61,13.83
1673002800000,19389.61,19541.52,19330.08,19332.87,12.299
1673006400000,19332.87,19497.81,19332.39,19385.96,14.733
1673010000000,19385.96,19449.1,19217.94,19360.13,12.932
1673013600000,19360.13,19463.0,19300.6,19384.57,11.884
1673017200000,19384.57,19574.58,19276.28,19531.11,14.074
1673020800000,19531.11,19549.45,19434.3,19500.93,14.338
1673024400000,19500.93,19563.27,19311.76,19331.55,11.798
1673028000000,19331.55,19518.81,19156.45,19181.27,11.187
1673031600000,19181.27,19329.68,19147.35,19295.38,14.427
1673035200000,19295.38,19377.86,19161.14,19348.87,12.649
1673038800000,19348.87,19515.59,19169.18,19237.19,12.428
1673042400000,19237.19,19352.24,19083.96,19350.1,11.557
1673046000000,19350.1,19526.21,19157.57,19301.56,13.166
1673049600000,19301.56,19336.95,19171.64,19317.13,14.369
1673053200000,19317.13,19340.07,19281.03,19333.32,11.041
1673056800000,19333.32,19363.45,19317.11,19355.42,10.537
1673060400000,19355.42,19544.3,19215.32,19507.14,13.922
1673064000000,19507.14,19546.86,19389.1,19540.87,12.134
1673067600000,19540.87,19607.33,19367.39,19500.76,10.075
1673071200000,19500.76,19618.67,19423.41,19466.68,12.78
1673074800000,19466.68,19651.07,19313.14,19396.33,12.03
1673078400000,19396.33,19539.09,19278.43,19291.7,10.532
1673082000000,19291.7,19301.08,19280.62,19284.55,10.238
1673085600000,19284.55,19381.18,19209.19,19213.64,10.808
1673089200000,19213.64,19310.21,19168.45,19266.39,13.674
1673092800000,19266.39,19278.08,19092.8,19212.01,12.275
1673096400000,19212.01,19340.05,19165.6,19229.75,14.421
1673100000000,19229.75,19292.11,19101.08,19284.72,12.532
1673103600000,19284.72,19310.62,19140.61,19185.84,11.978
1673107200000,19185.84,19376.16,19011.88,19031.11,12.243
1673110800000,19031.11,19151.62,18937.55,18967.25,14.174
1673114400000,18967.25,19085.1,18935.18,19019.77,12.797
1673118000000,19019.77,19172.66,18919.42,19005.95,10.952
1673121600000,19005.95,19133.24,18919.22,18978.96,12.143
1673125200000,18978.96,19060.07,18973.91,18982.26,12.119
1673128800000,18982.26,19104.58,18888.76,18991.64,14.49
1673132400000,18991.64,19170.07,18953.19,19035.94,10.654
1673136000000,19035.94,19160.17,18907.82,18986.31,13.045
1673139600000,18986.31,19092.02,18947.41,18951.51,14.595
1673143200000,18951.51,18987.51,18905.42,18983.38,12.356
1673146800000,18983.38,19117.74,18852.33,19046.71,14.141
1673150400000,19046.71,19217.61,19014.19,19054.51,11.087
1673154000000,19054.51,19105.24,18975.82,19036.72,10.603
1673157600000,19036.72,19069.19,18873.76,18877.38,13.387
1673161200000,18877.38,18896.3,18860.55,18871.79,11.9
1673164800000,18871.79,18980.38,18685.5,18748.16,13.74
1673168400000,18748.16,18909.82,18729.01,18907.8,13.324
1673172000000,18907.8,18964.4,18839.69,18851.8,13.873
1673175600000,18851.8,19038.34,18744.79,18772.38,10.714
1673179200000,18772.38,18800.33,18686.96,18728.88,14.402
1673182800000,18728.88,18802.06,18543.66,18705.51,10.128
1673186400000,18705.51,18811.53,18655.6,18732.47,14.45
1673190000000,18732.47,18737.3,18605.57,18654.0,13.491
1673193600000,18654.0,18836.57,18542.9,18743.99,12.046
1673197200000,18743.99,18858.8,18567.82,18793.22,10.734
1673200800000,18793.22,18903.77,18725.54,18827.73,10.217
1673204400000,18827.73,18896.34,18740.22,18795.8,14.637
1673208000000,18795.8,18869.4,18665.06,18669.85,11.75
1673211600000,18669.85,18846.87,18510.3,18691.34,12.909
1673215200000,18691.34,18700.88,18601.43,18649.36,14.507
