ts,open,high,low,close,volume
1672531200000,1000.0,1006.53,993.99,996.83,12.425
1672534800000,996.83,1001.28,991.83,994.33,10.192
1672538400000,994.33,1000.83,990.58,1000.77,11.091
1672542000000,1000.77,1004.5,999.95,1002.16,14.988
1672545600000,1002.16,1005.89,994.0,1001.17,12.653
1672549200000,1001.17,1001.74,996.65,997.4,13.662
1672552800000,997.4,997.52,992.36,993.13,11.337
1672556400000,993.13,1000.19,989.9,995.93,14.877
1672560000000,995.93,1000.59,986.41,1000.58,12.813
1672563600000,1000.58,1010.28,991.57,999.19,12.923
1672567200000,999.19,1008.37,997.46,1004.05,10.456
1672570800000,1004.05,1006.96,1000.45,1003.45,13.657
1672574400000,1003.45,1005.37,994.33,1003.33,13.086
1672578000000,1003.33,1010.65,994.99,997.37,13.573
1672581600000,997.37,1003.12,996.16,998.39,10.023
1672585200000,998.39,1004.02,991.99,1003.21,11.572
1672588800000,1003.21,1010.4,995.21,1006.93,12.431
1672592400000,1006.93,1014.57,1003.37,1009.45,10.123
1672596000000,1009.45,1013.89,1004.99,1006.48,10.108
1672599600000,1006.48,1010.45,1003.41,1007.89,12.102
1672603200000,1007.89,1010.45,1002.2,1007.76,14.711
1672606800000,1007.76,1008.9,998.15,1007.21,13.813
1672610400000,1007.21,1014.16,998.25,1012.15,12.797
1672614000000,1012.15,1020.02,1003.42,1013.84,12.408
1672617600000,1013.84,1019.48,1004.58,1017.75,10.881
1672621200000,1017.75,1027.35,1014.66,1020.58,14.484
1672624800000,1020.58,1029.67,1018.96,1019.57,11.078
1672628400000,1019.57,1028.86,1014.93,1016.76,10.887
1672632000000,1016.76,1021.82,1006.88,1020.9,14.152
1672635600000,1020.9,1030.44,1017.28,1029.15,12.15
1672639200000,1029.15,1030.92,1019.92,1027.82,11.447
1672642800000,1027.82,1035.68,1020.14,1028.26,11.33
1672646400000,1028.26,1032.74,1021.03,1029.22,10.54
1672650000000,1029.22,1038.64,1021.5,1035.23,12.912
1672653600000,1035.23,1037.36,1035.18,1037.32,12.803
1672657200000,1037.32,1046.18,1036.2,1043.15,11.366
1672660800000,1043.15,1048.46,1038.06,1040.27,11.78
1672664400000,1040.27,1041.4,1030.13,1034.96,12.228
